Metabolite,Ylypol_F535_R1_mal_01,Ylypol_F535_R2_mal_02,Ylypol_F535_R3_mal_03,Ylypol_F570_R1_mal_04,Ylypol_F570_R2_mal_05,Ylypol_F570_R3_mal_06,Ylypol_F580_R1_mal_07,Ylypol_F580_R2_mal_08,Ylypol_F580_R3_mal_09,Ylypol_F584_R1_mal_10,Ylypol_F584_R2_mal_11,Ylypol_F584_R3_mal_12,Ylypol_glu_F535_R1_13,Ylypol_glu_F535_R2_14,Ylypol_glu_F535_R3_15,Ylypol_glu_F570_R1_16,Ylypol_glu_F570_R2_17,Ylypol_glu_F570_R3_18,Ylypol_glu_F580_R1_19,Ylypol_glu_F580_R2_20,Ylypol_glu_F580_R3_21,Ylypol_glu_F584_R1_22,Ylypol_glu_F584_R2_23,Ylypol_glu_F584_R3_24
L-mimosine,2064648.1090000002,2164776.141,1545156.3390000002,1109131.322,963695.0883,1798034.1709999999,1269913.252,1957708.519,1599844.1030000001,1998827.871,1050447.149,1162795.285,761405.3031,2634458.856,1580946.618,1309600.768,13606537.78,1582011.4819999998,1182477.899,1409158.247,893812.4114,1972349.282,1295325.275,1075817.257
L-ornithine,1835888.977,7263200.677,4323443.844,5667074.245,2017329.65,3336084.5930000003,4452143.033,2967524.02,4639084.846,4242145.447,4374678.454,9645221.514,9435605.124,9782395.245,9197560.433,9743270.066,8666288.983,11011615.21,6191247.375,6770467.9,12893819.65,4455468.681,3999324.067,5148465.405
L-proline,1124249.1770000001,7548014.892999999,11501506.1,6157396.255,5235823.353999999,1046522.57,1329205.798,2241020.328,1360573.542,10649933.02,6775084.796,4686654.827,1250839.962,720194.6139,203441.0442,628461.7571,8919.118294,7116921.837,3659167.327,1291380.104,1236384.838,320519.0,140241.0,2536026.149
L-pyroglutamic acid,150431547.0,179234304.0,113224053.0,191294280.0,149105638.0,193754214.0,155371310.0,178670111.0,164612715.0,187409422.0,155491867.0,146730300.0,116789802.0,143641433.0,132525139.0,167470094.0,233269937.0,141081642.0,145272628.0,131577724.0,135308741.0,133917428.0,126226475.0,106933250.0
L-serine,12228451.71,17385729.76,12157245.55,9564001.622000001,10539459.93,9381951.24,7605336.175,12508217.37,8952660.321,14339458.1,13140837.91,12145083.63,4492475.142,9066344.741,10483816.99,11594851.07,127351.8255,13815791.86,10052275.46,3242401.8710000003,4080903.881,5920383.033,398332.0,8407132.216
L-threonine,39031980.55,43063341.49,38520062.23,12397627.21,12586727.49,15717700.53,10460068.49,16598217.12,11623791.66,19556859.79,15406151.81,15131670.05,7413257.657000001,10682340.39,10357218.94,13810785.26,2812616.4039999996,16180150.72,9274915.991,6812796.597999999,7711164.038,10897015.84,9811304.203,7474562.973999999
L-valine,10055670.46,10409719.02,11995441.5,7417560.292,8890084.082999999,6964444.932,4369944.502,7565555.171,6684298.574,11015428.91,8515774.41,8431824.113,2559715.324,6041447.375,5961169.863,6438930.268999999,1727922.7380000001,13357419.45,6398800.865,3022565.7860000003,3420860.705,6491806.784,6174143.654,6765799.957
malic acid,6289717.307,6387000.493,5382039.459,18616237.42,15133776.68,20449495.43,14630597.89,20366589.79,12843644.99,28193495.76,23734801.71,25836214.17,4355049.134,6517440.496,5983640.536,9341945.873,12377320.08,11447833.26,6322161.227999999,5076765.469,6940293.299,9886105.752,11131610.4,7129233.544
maltose,27661.0,0.0,0.0,0.0,33222.0,28867.43895,0.0,106176.0,0.0,0.0,29326.95307,0.0,0.0,88039.42887999999,57574.93204,115583.115,211854.1754,140934.4528,58873.89929,0.0,80681.62821,70786.00371,104173.5807,36243.41128
mannitol-1-phosphate*,103710.6293,109162.2929,112698.704,196559.4743,127779.386,210730.673,227150.7681,216833.2066,166756.0015,213253.4954,195216.2596,136811.4447,0.0,74039.07497,39846.282680000004,49373.88952,113820.2945,64928.74865,0.0,53307.895880000004,3326.384198,127396.5443,55731.0,18961.48698
