,fluxes
FAS260,0.0
FAS80ACPm_L,0.0
DOLPMMer,0.0
FAS80_L,0.0
DOLPMTcer,0.0
FBA2,0.0
FBA3,0.0
FBP,0.0
FBP26,0.0
FCLTm,0.0
FDH,0.0
FDNG,0.0
FKYNH,0.0
FMETTRSm,0.0
FMNAT,0.0
FMNATm,0.0
FOLD3m,0.0
FORt,0.0
FORtm,0.0
FRUK,0.0
FRUt2,0.0
FTHFCL,0.0
FTHFCLm,0.0
AHSERL2,0.0
FTHFLm,0.0
HSERTA,0.0
FUMAC,0.0
FUMm,0.0
FUMt2r,0.0
G12MT1g,0.0
G12MT2g,0.0
G13MTg,0.0
G16MTg,0.0
G3PD1irm,22.29797909407661
G3PDm,22.29797909407661
RNDR1,0.0
G5SADrm,0.0
G5SD,0.0
RNTR4,0.0
G6PDA,0.0
G6PDH2,0.0
UMPK,0.0
ATPS3m,28.350696864111367
G6PI2,0.0
CYOOm,9.829547038327478
GALIGH,0.0
GALK,0.0
GALS3,0.0
GALT,0.0
GALU,0.0
GALt2,0.0
GAM6Pt,0.0
CYOR_u6m,19.659094076654956
GARFTi,0.0
FUM,0.0
GAT2_SC,0.0
GBEZ,0.0
GCALDt,0.0
GCALDtm,0.0
MDH,0.0
MDHm,0.0
GCC2cm,0.0
GCCam,0.0
GCCbim,0.0
GCCcm,0.0
GDPt3g,0.0
GDPtn,0.0
GF6PTA,0.0
GGLGH,0.0
GHMT2r,-4.595958188153293
GHMT2rm,2.2979790940766467
GK1,0.0
GK2,0.0
GLCP,0.0
NADH2_u6cm,10.80808362369342
PPA,0.0
GLCtv,0.0
G6PDH2er,0.0
GLNTRS,0.0
GLNt2n,0.0
GLNt2r,0.0
GND,0.0
GLUCYS,0.0
GLUDC,0.0
GLUDxi,0.0
PGL,0.0
PGMT,0.0
GLUN,0.0
GLUPRT,0.0
GLUSx,9.191916376306587
GLUTRS,0.0
GLUTRSm,0.0
GLUt2m,0.0
GLUt2n,0.0
GLUt2r,0.0
GLXtp,0.0
GLYC3Ptm,0.0
GLYCLm,2.2979790940766467
GLYCt,0.0
GLYGS,0.0
GLYK,0.0
GLYOX,0.0
GLYOXm,0.0
GLYTRS,0.0
GLYt2m,0.0
GLYt2r,0.0
GMPS2,0.0
RPE,0.0
GNNUC,0.0
GRTT,0.0
GSNK,0.0
GSNt2,0.0
GSNt2m,0.0
GTHO,0.0
GTHOXti,0.0
GTHP,0.0
GTHS,0.0
GTMLT,0.0
GTPCII,0.0
GUAPRT,0.0
GUAt2r,0.0
GUAtm,0.0
RPI,0.0
H2Oter,0.0
H2Otm,-34.562822299651344
TKT2,0.0
H2Otp,0.0
H2Otv,0.0
HACD10p,0.0
HACD4p,0.0
HACD5p,0.0
HACD6p,0.0
HACD7p,0.0
HACD8p,0.0
AGAT_SC,0.0
HBZOPT6,0.0
HBZOPT6m,0.0
DAGPYP_SC,0.0
HCO3E,15.74494773519162
HCO3Em,0.0
HCO3En,0.0
HCYSMT,0.0
HCYSt2p,0.0
HDCAt,0.0
HDCEAt,0.0
HETZK,0.0
HEX1,10.0
HEX4,0.0
DASYN_SC,0.0
HGNTOR,0.0
GAT1_SC,0.0
HISTD,0.0
HISTP,0.0
HISTRS,0.0
HISTRSm,0.0
HISt2m,0.0
HISt2r,0.0
HKYNH,0.0
HMBS,0.0
HMGCOAR,0.0
HMGCOAS,0.0
HMGCOASm,0.0
HMGCOAtm,0.0
HMPK1,0.0
HPPKm,0.0
HPROa,0.0
HPROb,0.0
HPROxm,0.0
HPROym,0.0
HSDxi,4.595958188153293
MFAPS_SC,0.0
PETOHM_SC,0.0
HSK,4.595958188153293
HSTPT,0.0
HXANt2r,0.0
HXPRT,0.0
HYPOE,0.0
PINOS_SC,0.0
ICDHy,0.0
PMETM_SC,0.0
ICDHyp,0.0
ICL,0.0
ID3ACALDtm,0.0
IG3PS,0.0
IGPDH,0.0
PSERDm_SC,0.0
PSERS_SC,0.0
ILETAm,0.0
ILETRS,0.0
ILETRSm,0.0
ILEt2r,0.0
IMPC,0.0
IMPD,0.0
IND3ACtm,0.0
INDPYRD,0.0
INSK,0.0
ASPCTn,0.0
